"intervals"   "mc" "Fr.abs" "Fr.cum.abs" "Fr.rel" "Fr.cum.rel"
[20.95,22.25) 21.6      2          2 0.0116     0.0116
[22.25,23.55) 22.9     14         16 0.0809     0.0925
[23.55,24.85) 24.2     27         43 0.1561     0.2486
[24.85,26.15) 25.5     44         87 0.2543     0.5029
[26.15,27.45) 26.8     34        121 0.1965     0.6994
[27.45,28.75) 28.1     31        152 0.1792     0.8786
[28.75,30.05) 29.4     15        167 0.0867     0.9653
[30.05,31.35) 30.7      3        170 0.0173     0.9826
[31.35,32.65) 32.0      2        172 0.0116     0.9942
[32.65,33.95) 33.3      1        173 0.0058     1.0000
